Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Secondary school teacher,Finance,Increasing,Moderate,115023.02,PhD,4,5398,3531,20.77,47.86,Germany,49.88
"Production assistant, radio",Healthcare,Increasing,Low,72851.9,High School,1,8039,3829,55.19,47.88,China,78.99
Armed forces technical officer,Retail,Increasing,Moderate,109723.87,PhD,13,8317,9078,84.29,18.5,India,53.79
Youth worker,Retail,Decreasing,Moderate,116200.05,Master’s Degree,18,4286,8248,24.27,6.15,USA,67.62
Special effects artist,Education,Decreasing,Moderate,84098.07,PhD,0,348,5612,86.55,14.76,India,48.47
Ceramics designer,Transportation,Increasing,High,78446.27,Associate Degree,11,1473,8555,41.11,51.29,Brazil,32.69
Animal technologist,Transportation,Decreasing,Moderate,83036.95,Master’s Degree,3,1464,6938,54.24,0.0,Canada,44.82
Firefighter,IT,Increasing,Low,79276.25,High School,4,2163,6734,87.31,84.72,Canada,48.98
Charity fundraiser,Education,Increasing,High,73604.11,Bachelor’s Degree,2,7568,9624,23.23,65.1,India,38.94
Housing manager/officer,Education,Decreasing,Moderate,109164.64,PhD,17,2582,5018,18.15,52.18,USA,34.93
Jewellery designer,Retail,Increasing,High,82810.04,High School,15,3369,3297,87.85,13.21,Canada,43.89
Ecologist,IT,Decreasing,Moderate,120204.13,Associate Degree,17,5407,4631,43.99,0.0,India,42.53
Operations geologist,Entertainment,Increasing,High,61874.34,High School,5,7635,3586,8.59,66.23,USA,26.25
Patent attorney,Entertainment,Increasing,Low,93746.34,Associate Degree,18,1334,2198,12.72,11.02,China,32.51
Media buyer,Transportation,Decreasing,Low,112180.8,PhD,20,1527,5198,76.29,21.64,China,69.95
Town planner,Entertainment,Increasing,Moderate,101173.53,Master’s Degree,14,8467,4447,36.16,53.34,China,26.15
Tour manager,Finance,Increasing,High,85492.25,Associate Degree,5,6840,6963,1.36,88.88,UK,26.05
Higher education careers adviser,Finance,Increasing,Low,126463.5,Master’s Degree,9,7445,9354,53.86,27.02,UK,75.44
Fitness centre manager,Transportation,Increasing,Moderate,100904.34,Bachelor’s Degree,20,3104,7299,98.89,47.85,UK,69.5
Immunologist,IT,Decreasing,Low,104993.05,PhD,2,7341,8522,33.47,62.44,India,20.75
Contracting civil engineer,Finance,Increasing,High,120436.76,PhD,12,9860,1304,17.25,57.41,Canada,55.07
Surgeon,Healthcare,Increasing,High,85929.02,PhD,2,6281,447,55.15,78.36,Brazil,37.04
Environmental consultant,Transportation,Decreasing,Low,108277.51,Associate Degree,20,1830,3231,11.48,36.6,India,39.11
"Engineer, electrical",Manufacturing,Increasing,Low,111249.36,PhD,3,7659,7989,31.94,24.01,Brazil,58.24
"Surveyor, commercial/residential",IT,Decreasing,Low,80639.44,Bachelor’s Degree,0,3922,327,52.4,86.33,India,26.59
Customer service manager,Finance,Increasing,Low,108425.91,Bachelor’s Degree,20,2523,2066,74.75,62.13,Australia,79.71
Microbiologist,Entertainment,Decreasing,Moderate,91176.02,Bachelor’s Degree,6,5766,1439,77.68,39.19,Germany,30.38
Secretary/administrator,Retail,Increasing,Low,84916.01,Master’s Degree,4,1437,272,24.61,57.46,USA,28.52
Armed forces operational officer,Finance,Increasing,Moderate,113404.33,High School,20,2105,7045,42.29,0.0,USA,20.25
"Therapist, horticultural",Healthcare,Decreasing,Moderate,120258.03,PhD,11,8459,4383,19.56,33.64,Australia,30.99
Architect,Healthcare,Increasing,Low,92580.59,Bachelor’s Degree,16,7292,2487,0.79,52.3,Germany,26.25
"Engineer, structural",Education,Increasing,High,90715.69,Bachelor’s Degree,7,7836,6700,71.9,34.09,Australia,63.61
Trade union research officer,IT,Decreasing,High,104062.37,Master’s Degree,8,3144,3121,55.22,89.29,Brazil,60.82
Radio producer,Finance,Increasing,Moderate,136698.89,Master’s Degree,20,7406,3389,68.35,1.16,Brazil,48.26
Primary school teacher,Manufacturing,Decreasing,High,56795.64,High School,0,1171,8644,74.87,52.92,India,60.76
Site engineer,Finance,Increasing,Moderate,107629.23,Master’s Degree,1,1868,6591,85.62,25.33,Australia,26.77
Tour manager,Retail,Decreasing,Low,93958.52,Bachelor’s Degree,6,3142,507,79.18,7.68,USA,74.74
Electrical engineer,Manufacturing,Increasing,Moderate,94276.47,Bachelor’s Degree,2,5614,3475,66.17,2.27,Germany,53.48
Armed forces logistics/support/administrative officer,Retail,Decreasing,Low,89505.6,Associate Degree,11,2103,3229,38.63,43.11,Germany,53.01
"Programmer, systems",Finance,Increasing,Low,102254.99,High School,9,1876,5623,20.29,0.0,UK,22.67
Archivist,Finance,Decreasing,High,101394.82,Master’s Degree,7,2569,1514,83.28,72.28,Germany,52.41
Tourist information centre manager,Retail,Increasing,High,72201.51,Associate Degree,8,7005,8436,8.68,87.96,Brazil,77.46
Occupational therapist,Manufacturing,Increasing,Moderate,111993.46,PhD,20,7442,8558,47.66,6.55,Brazil,57.67
General practice doctor,Transportation,Increasing,High,93305.04,PhD,0,4069,5391,99.88,17.95,USA,37.47
Air cabin crew,Retail,Decreasing,Low,100438.14,Master’s Degree,10,815,1655,50.9,40.89,USA,74.62
"Therapist, art",Retail,Decreasing,Moderate,102325.31,PhD,5,622,2406,47.96,47.46,USA,53.94
"Lighting technician, broadcasting/film/video",Education,Decreasing,High,80410.65,Bachelor’s Degree,5,9510,9086,86.47,52.5,China,43.21
Herbalist,Manufacturing,Increasing,High,95210.45,Master’s Degree,11,813,2546,95.92,41.13,India,64.31
Technical brewer,Education,Decreasing,Moderate,109305.68,PhD,12,9965,2903,91.98,34.87,Brazil,46.01
Water engineer,Entertainment,Decreasing,Moderate,91770.03,Bachelor’s Degree,4,187,8383,21.9,5.15,USA,28.55
Animal technologist,Finance,Decreasing,Moderate,88072.11,Associate Degree,7,2976,8835,34.51,91.72,USA,27.37
Clothing/textile technologist,Finance,Decreasing,Moderate,126256.61,Master’s Degree,12,7678,5185,22.6,36.59,Brazil,33.84
Site engineer,Education,Decreasing,High,98234.99,Master’s Degree,17,4517,3138,15.96,75.12,Australia,51.11
Cabin crew,Retail,Decreasing,High,89436.73,Associate Degree,15,4742,4747,92.46,12.57,UK,53.04
Estate manager/land agent,Retail,Increasing,Moderate,105040.03,PhD,5,701,3748,72.19,15.53,Germany,47.46
Database administrator,Entertainment,Decreasing,High,106953.87,Bachelor’s Degree,17,5028,7954,13.43,12.67,Brazil,59.66
"Teacher, music",Manufacturing,Decreasing,High,145074.96,PhD,17,3722,8025,95.69,34.88,Canada,66.61
Clinical embryologist,IT,Increasing,Moderate,101940.95,Associate Degree,16,6683,3285,74.98,58.25,Australia,37.61
Photographer,Retail,Increasing,Moderate,93023.74,Bachelor’s Degree,19,3161,1466,89.91,81.09,Brazil,43.23
Consulting civil engineer,Transportation,Increasing,Low,70034.94,High School,15,5603,6775,71.4,81.95,China,76.68
"Designer, multimedia",Finance,Increasing,Low,113642.22,PhD,1,3400,2048,42.57,14.4,China,62.43
Architectural technologist,Education,Increasing,High,87986.43,High School,16,2870,9159,51.62,41.05,China,20.36
Acupuncturist,Retail,Decreasing,Low,88709.92,Bachelor’s Degree,17,7125,470,85.94,67.92,Brazil,67.13
"Engineer, technical sales",Manufacturing,Increasing,Low,110990.02,Bachelor’s Degree,20,6137,8584,80.82,8.89,China,60.05
"Engineer, mining",Healthcare,Decreasing,Low,103381.36,PhD,12,6625,5265,96.13,67.04,China,22.78
"Investment banker, operational",Education,Increasing,High,81080.47,PhD,2,3494,1524,89.76,81.68,UK,40.62
Manufacturing engineer,Transportation,Decreasing,Low,59552.45,High School,4,5842,2181,54.32,66.26,Germany,40.78
"Librarian, public",Education,Increasing,High,62770.3,High School,4,7767,669,48.68,93.82,Germany,60.52
Air broker,Transportation,Decreasing,Moderate,81458.35,Bachelor’s Degree,9,5919,7865,6.29,71.0,India,37.44
Counselling psychologist,Finance,Increasing,Low,96208.56,Associate Degree,10,8436,7321,86.99,83.57,Australia,27.0
Microbiologist,Finance,Increasing,High,105530.35,High School,13,7779,2602,15.01,0.0,Brazil,47.94
Quarry manager,Entertainment,Decreasing,High,112356.76,PhD,12,1542,224,93.08,25.07,China,27.12
Speech and language therapist,Finance,Decreasing,Low,102869.01,Associate Degree,6,8551,7427,1.56,5.84,UK,73.21
Ranger/warden,Retail,Increasing,Moderate,86344.17,Associate Degree,16,1135,1815,28.29,22.62,Brazil,22.82
Animal nutritionist,Retail,Decreasing,Low,88534.12,PhD,9,1393,5492,44.12,73.82,China,64.51
Ecologist,Education,Increasing,Low,112451.13,Master’s Degree,17,2010,4265,76.32,20.72,USA,34.36
"Engineer, civil (contracting)",Finance,Increasing,High,105678.6,High School,16,6398,9686,10.28,34.68,India,67.3
Hospital pharmacist,IT,Increasing,Low,100995.19,High School,8,6427,2431,35.98,35.75,Germany,64.92
Police officer,Healthcare,Increasing,Low,98710.03,Bachelor’s Degree,14,1024,4511,36.72,64.88,USA,79.33
Research scientist (maths),Healthcare,Increasing,Moderate,87212.41,Bachelor’s Degree,12,1339,8007,18.1,58.77,India,31.77
"Lighting technician, broadcasting/film/video",Education,Decreasing,High,60937.03,High School,3,6086,1278,13.71,92.82,India,23.89
Radiation protection practitioner,Education,Decreasing,Moderate,69934.22,Bachelor’s Degree,2,6513,5031,84.53,95.16,Brazil,61.5
Database administrator,Healthcare,Decreasing,Moderate,70880.32,High School,7,9910,1918,96.0,68.89,Australia,29.85
Advice worker,Entertainment,Increasing,Moderate,84746.06,Bachelor’s Degree,3,4866,2662,30.27,47.52,Canada,53.4
Meteorologist,Finance,Increasing,Low,114253.66,Associate Degree,19,4293,8258,62.32,53.41,China,70.41
Aeronautical engineer,Entertainment,Decreasing,Moderate,92264.55,Associate Degree,12,9748,5026,96.93,35.69,China,51.55
"Administrator, local government",Education,Increasing,Moderate,102733.73,PhD,11,3020,7776,72.28,40.88,China,47.94
Museum/gallery conservator,IT,Decreasing,High,101732.53,Master’s Degree,8,245,1348,82.8,67.54,USA,51.48
Technical author,Transportation,Increasing,Low,100656.81,PhD,9,6805,8708,54.31,39.35,Germany,59.53
Multimedia specialist,IT,Increasing,Moderate,135109.67,PhD,17,3983,4328,28.97,41.49,Germany,62.93
Counsellor,Retail,Increasing,High,58398.25,High School,3,2123,8756,6.46,100.0,China,21.56
"Engineer, maintenance (IT)",Entertainment,Decreasing,Low,101351.1,Associate Degree,20,9241,7360,97.91,49.09,Germany,32.58
Fish farm manager,Healthcare,Decreasing,Moderate,112470.39,Bachelor’s Degree,19,5099,3767,3.67,17.58,UK,66.3
Ambulance person,Entertainment,Increasing,Low,109857.85,Master’s Degree,11,5664,726,79.7,4.55,Germany,54.18
Multimedia programmer,Manufacturing,Decreasing,High,87653.38,Bachelor’s Degree,17,5543,7847,42.83,84.27,China,45.09
Higher education lecturer,Manufacturing,Increasing,Moderate,87197.15,Master’s Degree,9,8656,1839,18.11,62.64,Australia,48.13
Quantity surveyor,Manufacturing,Increasing,High,120918.39,Master’s Degree,18,2147,200,91.86,27.55,China,79.28
"Surveyor, commercial/residential",IT,Increasing,Low,116584.84,Bachelor’s Degree,8,6224,4765,97.13,44.64,USA,67.83
Database administrator,Finance,Decreasing,High,125916.9,Bachelor’s Degree,18,5061,2666,95.49,37.99,Brazil,36.82
Senior tax professional/tax inspector,Healthcare,Decreasing,High,83048.3,Associate Degree,0,2239,2287,16.95,14.12,UK,35.16
Interpreter,Education,Increasing,Moderate,80577.72,High School,9,3614,7433,83.06,2.55,UK,57.36
Animator,Finance,Increasing,Low,123895.08,Master’s Degree,7,9468,1197,73.55,4.76,UK,33.48
"Exhibitions officer, museum/gallery",Entertainment,Increasing,Moderate,100366.97,PhD,1,5842,4041,99.69,28.02,India,43.07
Museum/gallery exhibitions officer,Finance,Decreasing,High,142967.93,PhD,13,7452,533,38.31,0.0,Germany,57.39
Press sub,Manufacturing,Increasing,Low,94588.17,PhD,2,1865,7124,8.34,0.0,Germany,78.01
Automotive engineer,Healthcare,Increasing,Low,74069.93,Bachelor’s Degree,3,7139,2848,72.38,82.55,China,61.77
Counselling psychologist,Transportation,Decreasing,Low,76464.71,High School,9,426,2184,0.43,0.0,UK,53.4
Contractor,Education,Decreasing,Low,85208.73,Associate Degree,12,3008,5292,93.08,46.29,Germany,55.49
Animal nutritionist,Education,Increasing,Low,85700.6,High School,18,5068,1631,49.36,64.41,Canada,33.37
Youth worker,Manufacturing,Increasing,Moderate,90526.97,Associate Degree,15,8052,7954,65.03,75.23,India,24.81
"Scientist, research (maths)",Healthcare,Decreasing,High,105756.02,Bachelor’s Degree,11,847,9885,81.56,0.0,USA,79.69
Horticultural consultant,Finance,Increasing,High,131755.81,PhD,10,7120,7702,9.61,11.7,China,35.75
Music therapist,Finance,Increasing,Moderate,101004.64,High School,9,7886,3875,77.57,13.42,USA,71.87
Careers adviser,Entertainment,Decreasing,Low,79169.37,Bachelor’s Degree,0,6192,575,8.04,8.99,Australia,68.89
Paediatric nurse,Manufacturing,Increasing,Low,77938.94,Associate Degree,6,4262,7171,27.99,68.2,Germany,64.8
Research scientist (physical sciences),Finance,Decreasing,High,125572.65,PhD,11,9680,9221,56.75,34.71,USA,54.16
"Programmer, applications",Education,Increasing,Low,111988.13,PhD,10,6069,2051,92.95,13.45,UK,64.49
Child psychotherapist,IT,Decreasing,High,136432.67,Bachelor’s Degree,19,6848,6126,78.17,0.0,China,21.4
Early years teacher,Healthcare,Decreasing,Low,98979.08,Associate Degree,14,2100,4815,78.0,0.0,USA,35.38
Armed forces technical officer,Entertainment,Increasing,High,109944.99,Master’s Degree,11,8080,8549,88.61,6.02,Canada,41.76
Electrical engineer,IT,Increasing,High,95037.19,Associate Degree,9,2440,4924,50.73,68.41,USA,71.39
Statistician,Education,Decreasing,Moderate,106775.15,Master’s Degree,19,5190,9121,78.7,0.0,Germany,79.76
Ambulance person,Manufacturing,Decreasing,Moderate,111047.72,PhD,11,3375,9427,81.03,17.82,USA,34.02
Advertising account executive,Retail,Increasing,Moderate,97801.57,Bachelor’s Degree,18,148,4850,97.16,51.21,USA,52.83
Electronics engineer,Finance,Decreasing,High,111758.44,Master’s Degree,13,1496,6566,48.89,75.84,Canada,20.47
Advertising account planner,Healthcare,Increasing,Low,111626.97,PhD,19,8653,9418,82.02,0.78,Brazil,73.22
Ergonomist,IT,Decreasing,High,121095.63,Bachelor’s Degree,20,3266,7064,90.05,60.09,Germany,64.37
Community arts worker,Education,Decreasing,Low,90008.5,Bachelor’s Degree,18,4979,5010,81.84,72.05,Germany,51.08
Accounting technician,Manufacturing,Increasing,Moderate,88911.95,High School,19,7183,880,26.95,52.32,Brazil,69.01
Magazine features editor,Finance,Decreasing,Moderate,114620.01,Master’s Degree,10,2277,424,5.01,47.64,UK,34.43
"Engineer, building services",Education,Decreasing,High,86480.61,Associate Degree,11,9791,2123,54.69,44.64,USA,20.69
"Administrator, local government",Entertainment,Decreasing,High,93804.68,High School,17,6622,6520,85.77,22.38,Canada,54.39
Bookseller,Entertainment,Increasing,Moderate,94561.64,Bachelor’s Degree,11,3007,8110,82.73,43.8,India,50.56
Cabin crew,Transportation,Increasing,Low,107318.06,Master’s Degree,18,4674,3718,91.55,54.25,UK,62.46
Cartographer,Healthcare,Increasing,High,109582.23,PhD,16,6314,3279,65.18,73.31,UK,42.78
Pensions consultant,IT,Increasing,Moderate,119212.25,PhD,4,1169,9952,93.25,40.11,USA,45.55
"Biochemist, clinical",Healthcare,Increasing,Low,114216.04,Master’s Degree,17,2732,8497,78.88,46.52,Germany,34.24
"Designer, ceramics/pottery",IT,Increasing,Moderate,109857.34,High School,20,9306,2830,65.81,13.96,Brazil,52.0
Dramatherapist,Entertainment,Increasing,Moderate,72198.24,Associate Degree,4,7973,2664,21.48,96.21,USA,67.23
Herbalist,Transportation,Increasing,Moderate,64379.37,High School,7,918,374,5.79,56.21,UK,39.75
Water engineer,Finance,Decreasing,Moderate,129926.7,Bachelor’s Degree,16,7984,4961,89.47,0.0,Australia,37.78
Training and development officer,Finance,Decreasing,High,109506.66,PhD,5,2519,1191,42.86,70.27,China,62.35
Museum education officer,Education,Decreasing,High,103241.58,Master’s Degree,19,5590,5737,95.49,31.18,China,74.34
"Therapist, music",Entertainment,Increasing,High,84685.12,Master’s Degree,3,3071,6973,70.01,79.44,Canada,22.32
Materials engineer,Healthcare,Decreasing,Moderate,98173.31,Bachelor’s Degree,3,5613,3240,93.38,20.3,Australia,41.79
Clinical biochemist,Manufacturing,Decreasing,Low,111946.34,Bachelor’s Degree,20,659,5208,33.03,12.13,Canada,61.79
Ceramics designer,Retail,Decreasing,Moderate,73936.93,High School,5,1073,1829,7.61,18.71,India,55.85
Chiropodist,Retail,Increasing,Low,62546.38,High School,5,2667,1438,34.08,62.87,India,56.94
Water engineer,Healthcare,Increasing,Moderate,98535.29,Master’s Degree,6,9794,5764,92.38,54.21,Australia,78.43
Animal nutritionist,Education,Increasing,Low,68657.71,High School,6,9520,8776,81.51,44.53,Germany,67.35
"Journalist, broadcasting",Finance,Increasing,High,118835.86,PhD,11,4540,1996,97.81,76.68,Germany,77.22
Industrial buyer,IT,Decreasing,High,101206.6,Associate Degree,16,2846,5782,1.07,61.03,UK,41.77
Media buyer,Finance,Increasing,Low,108033.29,Bachelor’s Degree,4,3290,6658,18.64,8.35,Germany,51.41
Legal executive,Healthcare,Decreasing,Moderate,82489.77,Bachelor’s Degree,1,8806,833,7.78,45.49,Germany,20.12
"Doctor, hospital",IT,Increasing,Low,105594.85,Bachelor’s Degree,6,309,5365,42.61,67.31,USA,73.35
Multimedia programmer,Finance,Decreasing,High,113469.37,PhD,3,1353,7982,29.41,17.38,Germany,25.9
Risk manager,IT,Increasing,Moderate,90020.13,High School,10,6872,2619,25.13,95.74,China,28.15
Youth worker,Manufacturing,Decreasing,High,68815.58,Associate Degree,3,4232,2368,95.97,85.14,Germany,36.53
Recycling officer,IT,Increasing,Moderate,143687.14,PhD,12,103,8879,99.67,15.03,Brazil,57.07
Travel agency manager,Transportation,Decreasing,High,83771.04,Master’s Degree,7,5362,2577,55.41,60.99,China,69.32
"Teacher, secondary school",Entertainment,Decreasing,High,75608.48,High School,12,8912,3043,94.05,79.11,China,55.72
Manufacturing engineer,Entertainment,Increasing,Moderate,90791.47,Master’s Degree,10,7670,3918,80.54,67.7,India,32.95
Community pharmacist,Manufacturing,Increasing,Moderate,78001.27,High School,6,5240,4210,90.61,12.23,China,74.61
Tour manager,Entertainment,Increasing,Low,101585.13,Bachelor’s Degree,15,4340,9431,38.25,57.6,China,74.5
Quantity surveyor,Healthcare,Decreasing,Moderate,96434.28,Associate Degree,10,2507,8989,51.17,23.14,Germany,72.84
Publishing rights manager,Finance,Decreasing,Moderate,92655.43,Associate Degree,4,5986,4880,39.83,42.39,Brazil,31.23
Meteorologist,Education,Decreasing,Moderate,99379.53,Bachelor’s Degree,14,4574,6529,94.79,45.58,China,30.94
Volunteer coordinator,Retail,Decreasing,Moderate,109162.56,PhD,20,8957,9590,50.64,47.69,UK,76.18
Musician,Transportation,Decreasing,Moderate,61998.98,Associate Degree,3,7274,9294,73.46,85.64,India,43.97
"Sales professional, IT",Manufacturing,Increasing,High,112012.91,Master’s Degree,20,1271,3010,94.16,3.03,China,30.86
Retail banker,Entertainment,Increasing,Moderate,97724.88,Master’s Degree,16,5443,7004,73.4,69.51,Australia,62.57
Games developer,Healthcare,Decreasing,High,102659.76,Bachelor’s Degree,17,2428,7840,58.46,51.32,Canada,55.81
"Accountant, chartered",Finance,Decreasing,Moderate,114153.9,Bachelor’s Degree,11,5257,9137,15.02,0.0,China,49.9
"Teacher, primary school",IT,Decreasing,Moderate,101243.58,Bachelor’s Degree,14,2830,9661,56.16,78.21,India,77.44
IT sales professional,IT,Increasing,Low,127669.45,Associate Degree,18,5754,2434,94.27,21.72,India,44.54
Theatre stage manager,Manufacturing,Decreasing,Moderate,109661.17,Master’s Degree,12,8086,4981,93.93,12.31,Brazil,42.09
Museum/gallery curator,IT,Increasing,Low,146973.18,PhD,19,3828,6111,23.21,0.0,USA,65.8
Petroleum engineer,Healthcare,Decreasing,Moderate,99835.4,PhD,4,9874,8279,44.42,29.96,India,39.32
Health service manager,Education,Increasing,Moderate,69445.92,Associate Degree,7,2214,3221,52.37,96.12,India,60.35
Planning and development surveyor,Finance,Decreasing,High,112426.47,PhD,7,9965,5384,73.99,61.88,Canada,59.41
Estate agent,Manufacturing,Decreasing,High,109983.23,Bachelor’s Degree,19,5930,1998,19.42,18.98,USA,38.27
"Scientist, research (life sciences)",Manufacturing,Decreasing,Moderate,88293.38,High School,13,1702,3499,53.44,23.39,China,36.23
"Surveyor, mining",Transportation,Increasing,High,68907.36,Bachelor’s Degree,3,4087,6573,77.49,93.84,USA,21.32
"Producer, radio",IT,Increasing,Moderate,91051.56,Bachelor’s Degree,2,6372,7684,91.13,91.92,Brazil,22.37
"Engineer, materials",Healthcare,Decreasing,High,90495.4,Bachelor’s Degree,3,4674,940,90.24,33.34,Australia,69.63
"Surveyor, insurance",Transportation,Decreasing,High,94478.69,PhD,11,8595,2356,90.03,64.39,UK,48.23
Ceramics designer,Transportation,Increasing,Low,90026.54,Master’s Degree,10,166,4234,31.04,59.77,China,24.35
Public librarian,Manufacturing,Decreasing,High,80209.48,Bachelor’s Degree,0,7127,786,41.21,38.63,Germany,31.11
Drilling engineer,Finance,Decreasing,Moderate,124820.09,Master’s Degree,19,1803,6270,14.21,50.86,UK,73.77
Economist,IT,Increasing,Low,120047.04,Master’s Degree,7,370,8428,16.21,12.66,USA,24.91
Electronics engineer,Entertainment,Decreasing,Moderate,79832.37,Associate Degree,7,1641,8446,9.91,17.68,India,48.74
Farm manager,Healthcare,Decreasing,Moderate,104417.47,Bachelor’s Degree,18,6336,9949,25.45,75.21,Australia,69.66
Location manager,Transportation,Increasing,Low,62816.19,High School,10,316,6617,43.49,85.48,UK,71.1
Amenity horticulturist,Education,Increasing,High,83243.08,High School,6,581,6806,16.19,8.02,Germany,71.64
Special educational needs teacher,Education,Increasing,Low,100377.01,Bachelor’s Degree,20,9655,8179,14.69,84.39,Brazil,23.19
Mental health nurse,Education,Decreasing,High,91349.25,PhD,8,9737,3603,51.88,70.78,Brazil,24.48
Hydrologist,Transportation,Increasing,Low,112999.49,Bachelor’s Degree,20,6636,6527,1.66,38.48,Canada,40.94
Bonds trader,Manufacturing,Increasing,Moderate,89046.32,Associate Degree,18,7815,9402,75.29,64.36,India,79.53
Product manager,Healthcare,Increasing,Low,109713.57,PhD,2,9481,4889,56.0,53.16,China,22.03
"Production assistant, television",Entertainment,Increasing,Low,83738.99,Associate Degree,3,994,1417,24.76,4.46,China,55.65
Minerals surveyor,Finance,Increasing,Moderate,85791.05,Bachelor’s Degree,1,3742,4073,79.82,84.19,India,38.2
"Engineer, chemical",Finance,Increasing,Moderate,117418.85,Master’s Degree,13,2992,3517,62.79,0.0,Canada,46.21
Environmental health practitioner,Healthcare,Increasing,Low,97984.17,High School,18,765,3065,85.55,32.9,Germany,77.9
Investment analyst,Entertainment,Increasing,Low,94867.21,Master’s Degree,14,3230,2863,37.1,73.58,Brazil,33.92
Media buyer,Healthcare,Increasing,High,95931.37,PhD,4,4375,6430,31.99,79.99,China,37.56
Aeronautical engineer,IT,Decreasing,Moderate,131686.62,PhD,8,419,6273,77.76,17.91,Canada,75.99
"Teacher, early years/pre",Healthcare,Decreasing,Low,109120.92,Master’s Degree,18,6949,1766,10.19,27.82,Germany,67.83
"Librarian, public",Entertainment,Increasing,Moderate,76563.61,High School,14,4461,3641,18.31,72.95,USA,53.25
"Scientist, product/process development",Healthcare,Increasing,Low,108890.05,PhD,16,121,8613,5.53,1.22,Germany,55.01
Civil Service fast streamer,Transportation,Increasing,Moderate,63664.38,Associate Degree,5,1028,2850,80.8,84.99,Australia,64.9
Hospital doctor,Retail,Increasing,Low,70789.54,Master’s Degree,4,2402,6663,72.03,93.6,China,29.92
Aid worker,IT,Increasing,High,105894.93,Bachelor’s Degree,3,9480,7096,96.22,19.18,Canada,23.03
Chartered accountant,Manufacturing,Increasing,Low,107867.3,Bachelor’s Degree,20,8311,9401,86.15,51.55,Australia,31.36
Chiropodist,Healthcare,Increasing,Low,111628.73,Master’s Degree,8,1744,2315,93.73,25.19,USA,31.73
Chief of Staff,Manufacturing,Decreasing,Moderate,97169.28,Bachelor’s Degree,17,7923,1834,98.04,56.69,USA,46.0
Environmental health practitioner,Healthcare,Increasing,High,100630.51,Bachelor’s Degree,8,8830,7825,0.06,30.64,Australia,63.4
"Scientist, biomedical",Retail,Decreasing,Low,70440.62,Associate Degree,0,618,8944,93.99,43.94,USA,61.43
"Designer, fashion/clothing",Healthcare,Decreasing,Low,70548.51,Associate Degree,8,9548,7281,82.78,73.22,USA,27.5
